Merchant,Vintage Index,FICO Bucket,New Accounts,LTV per Account,CAC per Account,LTV/CAC,extrapolated_beyond_qsb
Merchant 1,0,Exceptional (800-850),5279.0,-114.34499788352512,115.86853570752037,-0.9868511514822194,0
Merchant 1,0,Fair (580-669),3741.0,222.0474465234545,69.80219192729217,3.1810956130825385,0
Merchant 1,0,Good (670-739),5870.0,94.9474272224585,84.8160136286201,1.1194516596618223,0
Merchant 1,0,Poor (300-579),1658.0,175.29031662094135,51.0313630880579,3.4349526646675423,0
Merchant 1,0,Very Good (740-799),7335.0,-4.563106914507758,97.79959100204499,-0.04665773003500948,0
Merchant 1,1,Exceptional (800-850),6178.0,-114.45240001949749,114.15344771770799,-1.0026188635364635,0
Merchant 1,1,Fair (580-669),4656.0,232.55851349841942,70.31786941580756,3.307246300698353,0
Merchant 1,1,Good (670-739),7089.0,111.20140787115372,83.95542389617718,1.3245291692966743,0
Merchant 1,1,Poor (300-579),2013.0,196.55095113151629,50.35270740188773,3.9034832737543637,0
Merchant 1,1,Very Good (740-799),8694.0,2.054208986126975,99.02691511387164,0.020743946065216994,0
Merchant 1,2,Exceptional (800-850),6409.0,-113.30110629786991,117.46450304259635,-0.9645561285589684,0
Merchant 1,2,Fair (580-669),4700.0,240.93121953388376,69.63404255319149,3.459963125792146,0
Merchant 1,2,Good (670-739),7047.0,114.7535686999456,82.29885057471265,1.3943520219127468,0
Merchant 1,2,Poor (300-579),2007.0,209.90370952097427,51.116093672147485,4.106411394956578,0
Merchant 1,2,Very Good (740-799),8666.0,-0.6839814846678838,99.04454188783752,-0.006905796842823051,0
Merchant 1,3,Exceptional (800-850),8034.0,-111.26152526358595,114.97386109036594,-0.9677114798826996,0
Merchant 1,3,Fair (580-669),5728.0,247.3371484994142,68.88442737430168,3.5906105041048346,0
Merchant 1,3,Good (670-739),9321.0,118.22734825206327,83.10374423345135,1.4226476718057883,0
Merchant 1,3,Poor (300-579),2516.0,222.38667414446678,51.34340222575517,4.331358353827825,0
