Report Date Index,Scenario,Acquisition Cost,Cost of Sales,Gross Revenue,Operating Expense,Gross Profit,Gross Margin %,Contribution Profit,Contribution Margin %,New Accounts,CAC,CAC / New Account,Report Date
0,Actual,-3226540.0,-885254.0,938250.0,-28030.0,52996.0,0.05648387956301625,24966.0,0.026609112709832135,23883.0,-3226540.0,135.09776828706612,Q1 2023
1,Actual,-2590100.0,-2424437.0,2443190.0,-70850.0,18753.0,0.007675620807223343,-52097.0,-0.02132335184737986,28630.0,-2590100.0,90.46804051694028,Q2 2023
2,Actual,-5656870.0,-5413596.0,5367010.0,-137620.0,-46586.0,-0.008680065809454426,-184206.0,-0.03432190362976779,50919.0,-5656870.0,111.09546534692355,Q3 2023
3,Actual,-5886420.0,-11957958.0,11286720.0,-211860.0,-671238.0,-0.05947148507272263,-883098.0,-0.07824221740239858,64493.0,-5886420.0,91.2722310948475,Q4 2023
4,Actual,-6203810.0,-11122704.0,12446900.0,-279800.0,1324196.0,0.10638761458676457,1044396.0,0.08390812170098579,60904.0,-6203810.0,101.86211086299751,Q1 2024
5,Actual,-10863590.0,-17466109.0,18514700.0,-413150.0,1048591.0,0.05663559225912383,635441.0,0.034320890967717545,105896.0,-10863590.0,102.58734985268565,Q2 2024
6,Actual,-11659560.0,-24850885.0,26474330.0,-581150.0,1623445.0,0.06132147631309272,1042295.0,0.039370023717314094,124455.0,-11659560.0,93.68494636615644,Q3 2024
7,Actual,-17445180.0,-43165143.0,44225940.0,-823770.0,1060797.0,0.02398585535999913,237027.0,0.005359456463785733,185465.0,-17445180.0,94.0618445528806,Q4 2024
8,Actual,-14350950.0,-38227775.0,46358780.0,-978500.0,8131005.0,0.17539298920290827,7152505.0,0.15428587637552152,149685.0,-14350950.0,95.87433610582222,Q1 2025
9,Actual,-17070600.0,-51341987.0,57877860.0,-1226290.0,6535873.0,0.11292527056114376,5309583.0,0.09173772147069709,187412.0,-17070600.0,91.08594967237957,Q2 2025
10,Actual,-17921950.0,-64755683.0,72595010.0,-1434500.0,7839327.0,0.1079871329999128,6404827.0,0.08822682165068921,199380.0,-17921950.0,89.88840405256295,Q3 2025
11,Actual,-22220210.0,-97079136.0,103107190.0,-1789740.0,6028054.0,0.058463953871694105,4238314.0,0.04110590153800137,252566.0,-22220210.0,87.9778354964643,Q4 2025
12,Actual,-16875370.0,-80661651.0,101618350.0,-1987680.0,20956699.0,0.20622947528669772,18969019.0,0.18666922853992413,186452.0,-16875370.0,90.50785188681269,Q1 2026
13,Actual,-19691700.0,-98429113.0,115148450.0,-2218650.0,16719337.0,0.14519810731277755,14500687.0,0.12593037075184252,223148.0,-19691700.0,88.24502124150789,Q2 2026
14,Base Case,-20784832.582065202,-115203566.76721257,132351426.79571834,-2463459.2489456027,17147860.028505772,0.12956309156359255,14684400.77956017,0.11095007537943082,236658.54717588474,-20784832.582065202,87.82624937952444,Q3 2026
15,Base Case,-22052984.073379397,-147439907.3148976,164973629.2895128,-2724704.542062003,17533721.974615216,0.10628196791285488,14809017.432553213,0.08976596742358632,251247.16813656077,-22052984.073379397,87.77406024888171,Q4 2026
16,Base Case,-23424139.20433687,-118857536.9096311,141627671.4532783,-2991407.1344991196,22770134.5436472,0.1607746163584908,19778727.409148082,0.13965298734487,267040.27963456436,-23424139.20433687,87.71762535746299,Q1 2027
17,Base Case,-24910617.460669283,-151654236.2095673,175096824.38933808,-3274297.459311514,23442588.179770768,0.1338835713413328,20168290.720459253,0.11518364648129696,284184.053131121,-24910617.460669283,87.6566337421321,Q2 2027
18,Base Case,-26526685.257058047,-170881719.70978585,196250080.9927073,-3579939.0956978896,25368361.282921463,0.12926548185151657,21788422.187223572,0.11102376150373784,302847.9218670451,-26526685.257058047,87.59077854496115,Q3 2027
19,Base Case,-28288903.081287023,-213426749.50366285,239318082.72682667,-3903599.2924878635,25891333.223163813,0.10818795190131068,21987733.93067595,0.09187660907251287,323228.7380236145,-28288903.081287023,87.51976465415734,Q4 2027
20,Base Case,-30216537.080220006,-171602093.80576083,204094703.105554,-4241741.96206528,32492609.299793184,0.15920358934052592,28250867.337727904,0.13842038479125585,345555.7020960091,-30216537.080220006,87.44331781226012,Q1 2028
21,Base Case,-32332047.198974237,-215014098.17982677,248447682.84192482,-4608709.414056017,33433584.66209805,0.13456991942794738,28824875.248042032,0.1160198997161986,370096.20963661507,-32332047.198974237,87.36119516252268,Q2 2028
