Report Date Index,Scenario,Acquisition Cost,Cost of Sales,Gross Revenue,Operating Expense,Gross Profit,Gross Margin %,Contribution Profit,Contribution Margin %,New Accounts,CAC,CAC / New Account,Report Date
0,Actual,-3226540.0,-885254.0,938250.0,-28030.0,52996.0,0.05648387956301625,24966.0,0.026609112709832135,23883.0,-3226540.0,135.09776828706612,Q1 2023
1,Actual,-2590100.0,-2424437.0,2443190.0,-70850.0,18753.0,0.007675620807223343,-52097.0,-0.02132335184737986,28630.0,-2590100.0,90.46804051694028,Q2 2023
2,Actual,-5656870.0,-5413596.0,5367010.0,-137620.0,-46586.0,-0.008680065809454426,-184206.0,-0.03432190362976779,50919.0,-5656870.0,111.09546534692355,Q3 2023
3,Actual,-5886420.0,-11957958.0,11286720.0,-211860.0,-671238.0,-0.05947148507272263,-883098.0,-0.07824221740239858,64493.0,-5886420.0,91.2722310948475,Q4 2023
4,Actual,-6203810.0,-11122704.0,12446900.0,-279800.0,1324196.0,0.10638761458676457,1044396.0,0.08390812170098579,60904.0,-6203810.0,101.86211086299751,Q1 2024
5,Actual,-10863590.0,-17466109.0,18514700.0,-413150.0,1048591.0,0.05663559225912383,635441.0,0.034320890967717545,105896.0,-10863590.0,102.58734985268565,Q2 2024
6,Actual,-11659560.0,-24850885.0,26474330.0,-581150.0,1623445.0,0.06132147631309272,1042295.0,0.039370023717314094,124455.0,-11659560.0,93.68494636615644,Q3 2024
7,Actual,-17445180.0,-43165143.0,44225940.0,-823770.0,1060797.0,0.02398585535999913,237027.0,0.005359456463785733,185465.0,-17445180.0,94.0618445528806,Q4 2024
8,Actual,-14350950.0,-38227775.0,46358780.0,-978500.0,8131005.0,0.17539298920290827,7152505.0,0.15428587637552152,149685.0,-14350950.0,95.87433610582222,Q1 2025
9,Actual,-17070600.0,-51341987.0,57877860.0,-1226290.0,6535873.0,0.11292527056114376,5309583.0,0.09173772147069709,187412.0,-17070600.0,91.08594967237957,Q2 2025
10,Actual,-17921950.0,-64755683.0,72595010.0,-1434500.0,7839327.0,0.1079871329999128,6404827.0,0.08822682165068921,199380.0,-17921950.0,89.88840405256295,Q3 2025
11,Actual,-22220210.0,-97079136.0,103107190.0,-1789740.0,6028054.0,0.058463953871694105,4238314.0,0.04110590153800137,252566.0,-22220210.0,87.9778354964643,Q4 2025
12,Actual,-16875370.0,-80661651.0,101618350.0,-1987680.0,20956699.0,0.20622947528669772,18969019.0,0.18666922853992413,186452.0,-16875370.0,90.50785188681269,Q1 2026
13,Actual,-19691700.0,-98429113.0,115148450.0,-2218650.0,16719337.0,0.14519810731277755,14500687.0,0.12593037075184252,223148.0,-19691700.0,88.24502124150789,Q2 2026
14,Base Case,-20784832.582065202,-113796047.28578676,127737596.12688334,-2463459.2489456027,13941548.84109658,0.10914209491814976,11478089.592150977,0.0898567840649643,236658.54717588474,-20784832.582065202,87.82624937952444,Q3 2026
15,Base Case,-22052984.073379397,-157092138.00015977,163830136.12023503,-2724704.542062003,6737998.120075256,0.04112795288853471,4013293.5780132525,0.024496674867363195,251247.16813656077,-22052984.073379397,87.77406024888171,Q4 2026
16,Base Case,-23424139.20433687,-111052155.1413399,157286374.25811666,-2991407.1344991196,46234219.116776764,0.2939492968469319,43242811.98227765,0.27493043937368356,267040.27963456436,-23424139.20433687,87.71762535746299,Q1 2027
17,Base Case,-24910617.460669283,-146721142.634235,165919024.04387897,-3274297.459311514,19197881.409643978,0.11570633036370141,15923583.950332463,0.09597202034000217,284184.053131121,-24910617.460669283,87.6566337421321,Q2 2027
18,Base Case,-26526685.257058047,-169464634.87485656,189582873.86250895,-3579939.0956978896,20118238.98765239,0.10611844085791593,16538299.891954502,0.08723519986277116,302847.9218670451,-26526685.257058047,87.59077854496115,Q3 2027
19,Base Case,-28288903.081287023,-228783105.1721489,238084912.33411554,-3903599.2924878635,9301807.161966622,0.039069284444673114,5398207.869478758,0.022673456358726352,323228.7380236145,-28288903.081287023,87.51976465415734,Q4 2027
20,Base Case,-30216537.080220006,-160361168.49345064,226546759.2942328,-4241741.96206528,66185590.800782144,0.29214980168761584,61943848.838716865,0.2734263294327944,345555.7020960091,-30216537.080220006,87.44331781226012,Q1 2028
21,Base Case,-32332047.198974237,-208287650.37447345,235269582.39904255,-4608709.414056017,26981932.024569094,0.11468516987803733,22373222.610513076,0.09509611222315038,370096.20963661507,-32332047.198974237,87.36119516252268,Q2 2028
